name,text,grade,onecorrectanswer,answer1,fraction1,answer2,fraction2,answer3,fraction3,answer4,fraction4
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να ενημερώνεται για την κατάσταση και το πρόγραμμα των αιθουσών, αμφιθεάτρων και συνεδριακών κέντρων.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει αίτηση στο σύστημα για χρήση ειδικών χώρων του πανεπιστημίου.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης αρμόδιο όργανο πρέπει να μπορεί να λαμβάνει, να εγκρίνει ή να απορρίπτει αιτήσεις χρηστών, οι οποίες αφορούν τη χρήση σε ειδικούς χώρους.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το διδακτικό προσωπικό πρέπει να μπορεί να ενημερώνει το σύστημα για τη διαθεσιμότητά του στο γραφείο του.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να δημιουργήσει ένα καινούργιο task.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει “join“ σε ένα “room”.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να στέλνει ειδοποίηση μία ώρα πριν από τη λήξη του deadline ενός task.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να εισάγει στην πλατφόρμα τα απαιτούμενα υλικά για μια συνταγή.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να βαθμολογήσει κάθε συνταγή που επιθυμεί, καθώς και να επεξεργαστεί τη βαθμολογία του.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει upload τη δική του συνταγή, καθώς και να την διαγράψει εάν ο ίδιος το επιθυμεί.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει αναζήτηση συνταγής μέσω λέξεων – κλειδιών.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει report κάποιας συνταγής με άσχετο / υβριστικό / προσβλητικό περιεχόμενο.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να δημιουργήσει και να επεξεργαστεί καταχώρηση ασθενούς.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να απεικονίζει σε χάρτη τη θέση των συνδεδεμένων χρηστών.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να έχει τη δυνατότητα „accept“ σε αιτήματα φιλίας.",5,TRUE,"Λειτουργική Απαίτηση",100,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να υποστηρίζει δύο γλώσσες, τα ελληνικά και τα αγγλικά.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το γραφικό περιβάλλον της εφαρμογής πρέπει να είναι φιλικό προς το χρήστη.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Η ταυτοποίηση των διαπιστευτηρίων πρέπει να γίνεται από το σύστημα εντός ενός δευτερολέπτου.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να υποστηρίζει κρυπτογράφηση 128-bit για την έκδοση των ηλεκτρονικών κλειδιών.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να είναι σε λειτουργία κατ’ ελάχιστον το 98% του χρόνου.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να χρησιμοποιεί το πολύ 200 ΚΒ μνήμης RAM.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",100,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει log-in στο σύστημα και η ταυτοποίηση των διαπιστευτηρίων πρέπει να γίνεται εντός 500ms.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",100,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει αίτηση στο σύστημα για χρήση ειδικών χώρων του πανεπιστημίου και η γραφική διεπαφή να υποστηρίζει ελληνικά και γερμανικά.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",100,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Ο χρήστης πρέπει να μπορεί να κάνει “join“ σε ένα “room” και η ενέργεια αυτή να διεκπαιρεώνεται το πολύ σε 50 ms.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",100,"Προβληματική - Δεν είναι απαίτηση χρηστών",0
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να διασφαλίζει τα εξωτερικά συστήματα από φυσικές καταστροφές.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",100
Ερώτηση,"Επιλέξτε τον τύπο της ακόλουθης φράσης: Το σύστημα πρέπει να διασφαλίζει τη σωματική ακεραιότητα των χρηστών.",5,TRUE,"Λειτουργική Απαίτηση",0,"Μη Λειτουργική Απαίτηση",0,"Προβληματική - Μη Λειτουργική και Λειτουργική Απαίτηση",0,"Προβληματική - Δεν είναι απαίτηση χρηστών",100A26	
